운전 배우다 원하다|운전교육 신청하러 오셨어요?
그것 아무나 에게나 맡기다 할수없다|그런 걸 아무에게나 맡길 수는 없잖아
예 또 이제 그 변하다 것 없다|예나 이제나 그는 변한 게 없다
산 또 들 모두 초만원|산이나 들이나 모두 초만원이다
자기 천재 되다 처럼 굴다|자기가 천재나 되는 것처럼 굴더라
공부하다 그리고 일하다 잡념 없애다|공부를 한다거나 일을 한다거나 하여 잡념을 없앤다
걷다 든지 달리다 든지 제 시간 만 오너라|걸어서든 달려서든 제 시간에만 오너라
무슨 일 든지 잘하다 자신 있다|무슨 일이든지 잘할 자신이 있다
시 든지 소설 든지 문학 관계 책 무엇 든지 읽다 싶다|시라든지 소설이라든지 문학에 관계된 책은 뭐든 읽고 싶다
나 아침 때 운동하다|나는 아침에 운동을 한다
이번 때 가다 아니다|이번에는 안가겠다
그 봄가을 때 보약 먹다|그는 봄가을로 보약을 먹는다
모임 날짜 이달 중순 때 정하다|모임 날짜를 이달 중순으로 정했다
서울 에 오다 올해 십 년 되다|서울에 온 지 올해로 십 년이 된다
자동차 면허 시험 보다 이번 일곱 번째 되다|자동차 면허 시험을 보는 것이 이번으로 일곱 번째가 된다
고향 떠나다 올해 20년 되다|고향을 떠난 지 올해로써 20년이 된다
운전면허 시험 떨어지다 이번 세 번째 되다|운전면허 시험에 떨어진 것이 이번으로써 세 번째다
오늘 따라 택시 잡다 못하다|오늘따라 택시도 안 잡힌다
책상 곳 꽃병 올려놓다|책상에다가 꽃병을 올려놓았다
책 어디 두다|책을 어디다 둘까
옷 먼지 묻다|옷에 먼지가 묻었다
그것 창고 곳 넣다 두다|그건 창고에다가 넣어 두어라
귀중품 집 곳 두다 좋다|귀중품은 집에다 두는 것이 좋다
이것 문제 너 로서 시작 되다|이 문제는 너로서 시작되었다
남쪽 햇빛 들어오다|남쪽으로서 햇빛이 들어온다
나 대낮 때 운동하다|나는 대낮에 운동을 한다
진달래 이르다 봄 때 피다|진달래는 이른 봄에 핀다
오늘 이후 규칙적 생활하다 꼭|오늘 이후로 규칙적으로 생활하겠다
시험 시간 한시간 제한하다|시험 시간을 한 시간으로 제한한다
시험 치다 이번 일곱번째 되다|시험을 치는 것이 이로써 일곱 번째가 됩니다
그날 따라 전화를 받다 많이|그날따라 전화가 많이 왔다
책상 어디 두다|책상을 어디다가 둘까요
나 시골 곳 살다|나는 시골에 산다
상자 여기 두다|상자는 여기에다가 둘까
아버지 보내다 편지|아버지에게서 온 편지이다
그 말 누구 나에게 말하다|그 말을 뉘게서 들었느냐
아마 여기 부터 두 시간 걷다 아마|아마 여기에서부터 두 시간은 걸어야 할 거야
고향 까지 서울 부터 천이리 되다|고향까지는 서울서부터 천 리나 된다
시험 해방 되다|시험으로부터 해방되었다
열두시 기준 승패 결정하다|열두 시를 기준으로 승패를 결정한다
그 약 먹다 부터 몸 좋다 되다|그 약을 먹고부터는 몸이 좋아졌다
그것 언니 에게 묻다 해보다|그것은 언니더러 물어봐
누가 너 에게 그 일 하다 말하다|누가 너보고 그 일을 하라고 그러더냐
친구들 에게 합격 사실 알리다|친구들에게 합격 사실을 알렸다
그것 나 다오|그것을 내게 다오
누구 에게 돕다 청하다 물음표|누구에게다 도움을 청할까
책임 그 둘이 맡기다|책임은 그 둘에게로 돌아갔다
선생님 께 인사 드리다 싶다|선생님께 인사를 올리고 싶습니다
이것 너 에게 주다 선물|이것은 너한테 주는 선물이다
그 책임 누구 에게 맡기다 물음표|그 책임이 누구한테로 돌아갈까
선생님 꾸중을 듣다|선생님에게 꾸중을 들었다
왜 나 너 잔소리 듣다 되다|왜 내가 네게 잔소리를 들어야 하지
선생님 야단을 맞다|선생님께 야단을 맞았다
가방 친구 에게 맡기다 끝|가방을 친구한테 맡겼다
친구 나에게 말하다 이야기|친구한테서 들은 이야기다
우리 아침 도서관 에서 만나다 꼭 끝|우리는 아침에 도서관에서 만나기로 하였다
우연 길거리 곳 친구 만나다 끝|우연히 길거리서 친구를 만났다
여기 곳 차 주차 말다|여기설랑 차를 세우지 마라
빨리 집 가다 가장 잠 싶다|빨리 집에 가설랑은 잠부터 자야겠다
외할머니 부터 편지 받다|외할머니로부터 편지가 왔다
친구 부터 생일 선물 받다|친구로부터 생일 선물을 받았다
한시 부터 두시 사이 그 부터 전화를 받다 아마|한 시에서부터 두 시 사이에 그에게서 전화가 올 것이다
한시 부터 공연 시작 되다 아마|한 시서부터 공연이 시작될 것이다
그사람 말하다 이야기|그 사람으로부터 나온 이야기
자정 기준 시간 정하다 끝|자정을 기준으로 시간을 정했다
그녀 나 에게 누구 질문을 받다|그 여자가 나더러 누구냐고 묻더군
누구 에게 말하다 물음표|누구보고 하는 소리야
돼지 에게 먹이 주다|돼지에게 먹이를 준다
무슨 일 나 에게 알다 줘|무슨 일인지 내게도 알려 줘
이 일 누구 에게 맡기다 지문자 ‘야’ 하다 모르다|이 일을 누구에게다 맡겨야 할지 모르겠다
갑자기 모두 관심 나 에게 쏠리다|갑자기 모두의 관심이 나에게로 쏠렸다
이 기쁘다소식 부모 께 제일 먼저 알다 드리다 싶다|이 기쁜 소식을 부모님께 제일 먼저 알려 드리고 싶어요
언니 한테 보내다 물건|언니한테 보낼 물건
모두 그 사람 몰려들다|모두들 그 사람한테로 몰려들었다
개 물리다|개에게 물리다
부모 용돈 타다 쓰다 있다|부모님께 용돈을 타서 쓰고 있다
선생님 한테 칭찬 듣다 기분 좋다 끝|선생님한테 칭찬을 들어 기분이 좋았다
형 소식 오다 끝|형한테서 소식이 왔다
이 물건 시장 사다 오다 끝|이 물건은 시장에서 사 왔다
시장 사다 물건 그런데 싸다 좋다|시장서 산 물건인데 싸고 좋다
모두 앉다 기다리다 끝|모두 앉아설랑 기다렸다
거기 담배 말다|거기설랑은 담배 피우지 마라
서울 오너라|서울로 오너라
나 광화문 발길 돌리다|나는 광화문으로 발길을 돌렸다
동생 방금 집 가다 끝|동생은 방금 집에 갔다
아주머니 밭 가다 말하다 이미 나가다 끝|아주머니는 밭에를 간다고 나가셨는데요
어린이들 내일 의 희망|어린이들은 내일에의 희망이다
서울 에서 대구 다음 부산 가다|서울에서 대구로 해서 부산에 갔다
홍콩 다음 미국 들어가다 예정|홍콩으로 해서 미국을 들어갈 예정이다
이것 기차 광주 출발 서울가다|이 기차는 광줄 출발해 서울로 간다
이것 버스 대구 출발 서울가다|이 버스는 대구를 출발해 서울로 간다
그녀 아침 일찍 서울 떠나다 끝|그녀는 아침 일찍 서울을 떠났다
학교 에서 집 까지 걷다 끝|학교에서 집까지 걸었다
서울 곳 전화를 받다 끝|서울서 전화가 왔다
직장 다니다|직장을 다닌다
동사무소 오너라|동사무소로 오너라
어디 가다 좋다 묻다|어디로 가는 것이 좋겠어요
미국 여행 떠나다|미국으로 여행을 떠난다
지금 산 가다|지금 산에 간다
집 가다 그런데 이모 오다 있다 끝|집에를 갔더니 이모가 와 있었다
해외 시장 의 진출 앞당기다 되다 같다|해외 시장에의 진출이 앞당겨질 것 같다
바람 나뭇가지 사이 빠져나가다|바람이 나뭇가지 사이로 빠져나간다
나 고향 떠나다|나는 고향을 떠난다
서울 곳 몇시 출발 예정 묻다|서울에서 몇 시에 출발할 예정이냐
너 지금 어디 오다|너 지금 어디서 오는 길이냐
회사 다니다|회사를 다닌다
시장 가다|시장을 간다
동생 함께 오다 끝|동생서껀 왔다
친구들 어울리다 늦다 까지 놀다|친구들과 어울려 늦게까지 놀았다
어제 친구 와 테니스를 치다|어제는 친구와 테니스를 쳤다
오늘 동생 과 싸우다 끝|오늘 동생이랑 싸웠다
지문자 영숙 아 이리 오다 해보다|영숙아 이리 와 봐
지문자 철수 야 어디 가다|철수야 어디 가니?
겨레 잠 깨다 시키다|겨레여 잠에서 깨어나라
슬프다 안녕|슬픔이여 안녕
전능자 시여 우리 자비 베풀다 주세요|전능자시여 우리에게 자비를 베풀어 주옵소서
하늘 이시여 우리 지키다 주세요|하늘이시여 우리를 지켜 주소서
조카 함께 오다 끝|조카서껀 함께 왔다
십년 오래간만 형님 함께 고향 다녀오다|십 년 만에 형님과 함께 고향에 다녀왔다
그 오랜만 아내 와 나들이하다|그는 오랜만에 아내와 나들이를 했다
동생 언니 싸우다|동생이 언니랑 싸우다니
두꺼비 아 두꺼비 아 헌 집 주다 새집 주세요|두껍아 두껍아 헌 집 줄게 새 집 다오
새 야 새 야 파랑새 야|새야 새야 파랑새야
주 시여 잘못 용서하다 주세요|주여 잘못을 용서하여 주소서
하늘 조국 보살피다 주세요|하늘이여 조국을 보살피소서
왕 자비 베풀다 주세요|왕이시여 자비를 베풀어 주소서
폐휴지를 이용한 생활용품전|폐휴질 이용해 생활용품을 만들었다
휘파람 신호 이용 그 부르다 끝|휘파람을 신호로 해서 그를 불렀다
꿀 가지다 단맛 나다|꿀로 단맛을 낸다
대화 가지다 갈등 풀다 할 수 있다|대화로써 갈등을 풀 수 있을까
약 가지다 병 치료하다|약으로 병을 고친다
그들 엄격하다 규칙가지다 아이들 잘못 바로잡다 주다 끝|그들은 엄격한 규칙으로써 아이들의 잘못을 바로잡아 주었다
콘크리트 가지다 집 짓다|콘크리트로 집을 짓는다
이 안경 유리 가지다 만들다 때문 무겁다|이 안경은 유리로 만들어서 무겁다
콩 가지다 메주 쑤다|콩으로 메주를 쑨다
남다 음식 이용하다 찌개 만들다 끝|남은 음식을 이용해 찌개를 만들었다
과일 칼 가지다 자르다|과일을 칼로 자른다
이제 눈물 가지다 호소하다 밖에 없다|이제는 눈물로써 호소하는 수밖에 없다
사진 가지다 설명하다|사진으로 설명을 한다
그 진실 꼭 이념 가지다 나라 다스리다 끝|그는 진실해야 한다는 이념으로써 나라를 다스렸다
선생님 시 백 정도 외우다 나에게 말하다|선생님은 시를 백 수나 외우신다더라
벌써 삼분의일 정도 끝|벌써 삼분의일 이나 끝냈다
시간 얼마 되다 물음표|몇 시나 되었을까?
나이 열 정도 되다 아마|열 살이나 되었겠다
이런 자전거 가지다 한 시간 백 리 가다 할 수 있다|이런 자전거로 어떻게 한 시간에 백 릴 가니
사과 둘 먹다 끝|사과를 두 개를 먹었다 
어제 열 시간 자다 끝|어제는 열 시간을 잤다 
그 평생 이르다 신념 잃다 아니다 살다 끝|그는 평생토록 신념을 잃지 않고 살았다
돈 있다 때문 남 깔보다 되다|돈깨나 있다고 남을 깔보면 되겠니
이것 정도 물건 얼마 든지 구하다 할 수 있다|이만 물건은 얼마든지 구할 수 있다
눈곱 정도 도 모르다 끝|눈곱만치도 몰랐다
집 대궐 정도 크다 짓다|집을 대궐만큼 크게 짓는다
집 정도 크다 파도 몰려오다|집채만 한 파도가 몰려온다
사위 오다 때문 닭 얼마잡다 끝|사위가 온다고 닭 마리나 잡았지
그 사람 돈 얼마 있다 때문 거만하다|그 사람은 돈푼이나 있다고 거만하다
선생님 수학 공식 백 정도 외우다 나에게 말하다|선생님은 수학 공식을 백 개나 외우신다더라
어떻게 앉다 곳 달걀 다섯 정도 먹다 묻다|어떻게 앉은 자리에서 달걀을 다섯 개나 먹었느냐
그녀 퍽 상냥하다|그녀는 퍽이나 상냥했다
몇 되다 물음표|몇이나 될까
한시간 백 킬로미터 가다|한 시간에 백 킬로미터를 갑니다
그 우리 반 으뜸이다|그는 우리 반에서 으뜸을 달린다
우리 영원 이르다 함께 하다 약속|우리는 영원토록 함께하기로 했다
얼굴 보다 심술 부리다 같다|얼굴을 보니 심술깨나 부리겠더구나
그것 정도 일 가지다 호들갑 떨다 그 이해 할수없다|그만 일을 가지고 호들갑을 떠는 그를 이해할 수 없다
나 도 너 정도 먹다 끝|나도 너만치 먹었다
나 도 당신 정도 할수있다|나도 당신만큼은 할 수 있다
청군 백군 보다 지다|청군이 백군만 못하다
나잇살 얼마 먹다 사람 점잖다 못하다 이것 무슨 짓 묻다|나잇살이나 먹은 사람이 점잖지 못하게 이게 무슨 짓이오
포유동물 중 무엇 있다|포유동물에 무엇이 있지
지문자 영희 그녀 무슨 일 생기다 물음표|영희에게 무슨 일이 생겼을까
너 아무 잘못 없다|네게는 아무 잘못도 없다 
우리 사장님 께 그 정도 돈 있다 묻다|우리 사장님께 그만한 돈이 있겠습니까
나 돈 좀 있다|나한테 돈이 좀 있다
이곳 찾다 오다 못하다 아마|이곳에야 찾아오지 못하겠지
동생 역 까지 바래다주다 끝|동생을 역까지 바래다주었다
아내 웃다 만 아무 말 없다|아내는 웃기만 할 뿐 아무 말이 없다
곤충 중 무엇 있다|곤충에 무엇이 있지?
이곳 생산하다 것 중 좋다 것 있다 듣다|이곳에서 생산되는 것에 좋은 것이 있다고 들었소
철수 에게 돈 많다|철수에게 돈이 많다
형님 께 무슨 일 생기다 묻다|형님께 무슨 일이 생겼나요
너 색연필 있다|너한테 색연필 있니
정오 가깝다 시각 잠자리 일어나다|정오가 가까운 시각에야 잠자리에서 일어났다
